下料批次号,零件号,num,polygon,允许旋转角度,面料号
L0002,s000166,1,"[[112000.0, 1000.0], [112002.0, 1000.2], [112006.6, 1000.5], [112011.6, 1000.6], [112016.7, 1000.6], [112021.9, 1000.3], [112027.8, 999.9], [112033.5, 999.4], [112038.8, 998.9], [112041.2, 998.6], [112043.5, 998.4], [112067.2, 995.7], [112056.3, 1175.4], [112052.5, 1239.1], [112030.4, 1235.1], [112028.1, 1234.7], [112025.5, 1234.3], [112021.9, 1233.7], [112018.1, 1233.0], [112014.0, 1232.4], [112009.8, 1231.8], [112000.3, 1230.6], [111995.7, 1230.2], [111991.1, 1229.9], [111986.0, 1229.7], [111910.2, 1229.7], [111902.7, 1110.2], [111924.7, 988.8], [111943.6, 991.3], [111945.2, 991.6], [111947.7, 991.9], [111950.4, 992.3], [111958.0, 993.5], [111960.2, 993.9], [111963.2, 994.4], [111966.3, 994.8], [111967.8, 995.1], [111976.4, 996.4], [111984.8, 997.7], [111987.4, 998.1], [111990.3, 998.5], [111993.2, 998.9], [111996.8, 999.5], [112000.0, 1000.0]]","0, 180",M0002
L0002,s000164,1,"[[110000.0, 2000.0], [110004.0, 2000.4], [110007.5, 2000.6], [110011.2, 2000.5], [110015.1, 2000.3], [110019.0, 2000.0], [110023.9, 1999.4], [110028.6, 1998.7], [110032.9, 1998.0], [110034.9, 1997.7], [110036.7, 1997.4], [110061.4, 1993.1], [110054.8, 2118.7], [110051.9, 2174.9], [110029.8, 2171.3], [110027.7, 2170.9], [110025.4, 2170.6], [110022.2, 2170.0], [110018.7, 2169.5], [110015.1, 2169.0], [110011.3, 2168.5], [110002.7, 2167.6], [109998.5, 2167.2], [109994.4, 2167.0], [109931.9, 2167.0], [109919.1, 2078.1], [109941.6, 1990.3], [109959.6, 1993.2], [109960.9, 1993.5], [109962.9, 1993.8], [109965.1, 1994.1], [109968.1, 1994.6], [109970.9, 1995.1], [109971.7, 1995.2], [109972.5, 1995.3], [109976.3, 1995.9], [109977.2, 1996.1], [109982.6, 1997.0], [109986.4, 1997.6], [109990.1, 1998.2], [109995.8, 1999.2], [109997.3, 1999.5], [109998.6, 1999.7], [110000.0, 2000.0]]","0, 180",M0002
L0002,s000024,1,"[[16000.0, 3000.0], [15810.6, 2999.8], [15810.5, 3001.9], [15809.4, 3001.7], [15808.4, 3001.4], [15807.6, 3001.2], [15806.5, 3000.9], [15805.2, 3000.6], [15803.8, 3000.3], [15802.2, 2999.9], [15798.8, 2999.1], [15791.6, 2997.3], [15788.2, 2996.4], [15786.6, 2996.0], [15785.2, 2995.7], [15783.5, 2992.8], [15781.8, 2989.8], [15778.3, 2983.8], [15775.6, 2979.4], [15774.1, 2977.2], [15772.5, 2975.2], [15770.4, 2972.8], [15768.0, 2970.5], [15763.1, 2966.3], [15759.3, 2963.1], [15755.3, 2959.8], [15757.2, 2958.3], [15759.2, 2956.7], [15761.2, 2955.0], [15763.1, 2953.4], [15765.0, 2951.7], [15766.0, 2950.8], [15767.1, 2949.8], [16002.2, 2950.0], [16002.0, 2954.4], [16001.8, 2959.1], [16001.6, 2964.2], [16001.3, 2969.3], [16001.1, 2974.5], [16000.8, 2979.5], [16000.6, 2984.2], [16000.5, 2988.4], [16000.4, 2990.8], [16000.3, 2993.3], [16000.2, 2994.7], [16000.2, 2996.2], [16000.1, 2998.0], [16000.0, 3000.0]]","0, 180",M0002
L0002,s000017,1,"[[12000.0, 2000.0], [12000.0, 2105.0], [11895.0, 2105.0], [11895.0, 2000.0], [12000.0, 2000.0]]","0, 180",M0002
L0002,s000019,1,"[[14000.0, 1000.0], [14000.0, 1200.0], [13930.0, 1200.0], [13930.0, 1000.0], [14000.0, 1000.0]]","0, 180",M0002
L0002,s000020,1,"[[14000.0, 2000.0], [13930.0, 2000.0], [13930.0, 1800.0], [14000.0, 1800.0], [14000.0, 2000.0]]","0, 180",M0002
L0002,s000025,1,"[[18000.0, 1000.0], [18001.3, 1025.0], [17653.7, 1042.5], [17652.4, 1017.5], [18000.0, 1000.0]]","0, 180",M0002
L0002,s000026,1,"[[18000.0, 2000.0], [18000.0, 2068.0], [17798.8, 2068.0], [17798.8, 2000.0], [18000.0, 2000.0]]","0, 180",M0002
L0002,s000028,1,"[[20000.0, 1000.0], [20300.0, 1000.0], [20300.0, 1040.0], [20000.0, 1040.0], [20000.0, 1000.0]]","0, 180",M0002
L0002,s000029,1,"[[20000.0, 2000.0], [20000.0, 2060.7], [19867.7, 2060.7], [19867.7, 2000.0], [20000.0, 2000.0]]","0, 180",M0002
L0002,s000030,1,"[[20000.0, 3000.0], [20000.0, 2960.0], [20300.0, 2960.0], [20300.0, 3000.0], [20000.0, 3000.0]]","0, 180",M0002
L0002,s000032,1,"[[22000.0, 2000.0], [22027.8, 2133.3], [21975.1, 2133.2], [21945.8, 1992.5], [22000.0, 2000.0]]","0, 180",M0002
L0002,s000033,1,"[[22000.0, 3000.0], [22000.0, 3090.0], [21805.0, 3090.0], [21805.0, 3000.0], [22000.0, 3000.0]]","0, 180",M0002
L0002,s000035,1,"[[24000.0, 2000.0], [24200.0, 2000.0], [24200.0, 2040.0], [24000.0, 2040.0], [24000.0, 2000.0]]","0, 180",M0002
L0002,s000036,1,"[[24000.0, 3000.0], [24697.5, 3000.0], [24697.5, 3065.0], [24000.0, 3065.0], [24000.0, 3000.0]]","0, 180",M0002
