下料批次号,零件号,数量,外轮廓,允许旋转角度,面料号
L0003,s000001,1,"[[2000.0, 1000.0], [1999.6, 1004.1], [1999.0, 1009.6], [1998.4, 1015.3], [1997.8, 1021.2], [1996.6, 1033.2], [1995.3, 1045.6], [1992.7, 1070.6], [1991.4, 1082.9], [1990.5, 1091.8], [1989.6, 1100.5], [1988.1, 1117.9], [1987.4, 1127.9], [1986.8, 1137.9], [1986.6, 1145.8], [1986.6, 1153.8], [1986.4, 1160.5], [1986.1, 1167.1], [1985.2, 1180.5], [1984.7, 1191.7], [1984.2, 1202.9], [1983.7, 1225.4], [1983.2, 1251.4], [1982.9, 1264.3], [1982.7, 1276.8], [1977.6, 1277.0], [1973.0, 1277.1], [1968.8, 1277.2], [1964.8, 1277.3], [1961.1, 1277.4], [1957.6, 1277.5], [1950.6, 1277.6], [1941.9, 1277.8], [1932.8, 1278.0], [1923.4, 1278.1], [1913.7, 1278.2], [1903.8, 1278.3], [1893.8, 1278.4], [1874.0, 1278.4], [1862.8, 1278.3], [1851.8, 1278.2], [1829.9, 1278.0], [1821.0, 1278.0], [1816.5, 1278.2], [1812.1, 1278.4], [1806.6, 1278.9], [1801.1, 1279.6], [1794.4, 1280.3], [1791.3, 1280.8], [1787.7, 1281.4], [1780.7, 1282.9], [1773.8, 1284.9], [1768.9, 1286.4], [1766.5, 1287.4], [1764.2, 1288.4], [1762.2, 1289.5], [1760.3, 1290.7], [1756.6, 1293.5], [1752.3, 1297.1], [1748.5, 1301.1], [1745.8, 1304.4], [1743.4, 1307.9], [1740.3, 1312.8], [1737.6, 1317.6], [1734.8, 1323.6], [1732.4, 1329.7], [1721.0, 1327.3], [1709.8, 1325.0], [1698.7, 1322.7], [1687.7, 1320.5], [1665.9, 1316.2], [1644.2, 1312.1], [1618.6, 1307.5], [1592.6, 1303.3], [1566.6, 1299.4], [1540.5, 1295.7], [1508.9, 1291.6], [1477.4, 1287.8], [1451.9, 1284.9], [1426.3, 1282.4], [1400.7, 1280.2], [1375.1, 1278.4], [1355.1, 1277.3], [1335.1, 1276.5], [1301.7, 1275.3], [1259.7, 1274.0], [1236.3, 1273.2], [1212.8, 1272.5], [1192.8, 1272.2], [1172.7, 1272.0], [1128.5, 1271.5], [1082.6, 1271.2], [1048.4, 1270.9], [1014.0, 1270.6], [981.4, 1270.5], [924.4, 1270.5], [911.6, 1270.6], [898.2, 1270.6], [898.2, 1023.1], [902.0, 1023.2], [912.5, 1023.2], [918.9, 1023.3], [924.9, 1023.3], [930.7, 1023.4], [988.0, 1023.4], [998.7, 1023.3], [1009.5, 1023.3], [1031.1, 1023.2], [1085.9, 1023.2], [1112.8, 1023.0], [1139.7, 1022.8], [1167.9, 1022.3], [1196.2, 1021.6], [1253.0, 1020.0], [1303.6, 1018.4], [1342.3, 1016.9], [1375.6, 1015.4], [1410.7, 1013.4], [1445.8, 1010.8], [1467.9, 1008.9], [1490.0, 1006.9], [1517.3, 1004.1], [1544.5, 1001.2], [1567.0, 998.5], [1589.4, 995.6], [1612.4, 992.4], [1635.4, 988.9], [1658.7, 985.3], [1681.9, 981.4], [1697.6, 978.7], [1713.4, 976.1], [1730.2, 973.6], [1742.0, 972.1], [1747.0, 971.4], [1749.8, 971.1], [1757.9, 970.2], [1766.0, 969.3], [1782.4, 967.7], [1790.5, 966.9], [1798.5, 966.1], [1806.3, 965.3], [1813.7, 964.6], [1813.6, 965.9], [1813.6, 966.8], [2001.2, 988.9], [2000.7, 993.7], [2000.1, 998.8], [2000.0, 1000.0]]","0, 180",M0003
L0003,s000002,1,"[[2000.0, 2000.0], [1810.6, 1999.8], [1810.5, 2001.9], [1809.4, 2001.7], [1808.4, 2001.4], [1807.6, 2001.2], [1806.5, 2000.9], [1805.2, 2000.6], [1803.8, 2000.3], [1802.2, 1999.9], [1798.8, 1999.1], [1791.6, 1997.3], [1788.2, 1996.4], [1786.6, 1996.0], [1785.2, 1995.7], [1783.5, 1992.8], [1781.8, 1989.8], [1778.3, 1983.8], [1775.6, 1979.4], [1774.1, 1977.2], [1772.5, 1975.2], [1770.4, 1972.8], [1768.0, 1970.5], [1763.1, 1966.3], [1759.3, 1963.1], [1755.3, 1959.8], [1757.2, 1958.3], [1759.2, 1956.7], [1761.2, 1955.0], [1763.1, 1953.4], [1765.0, 1951.7], [1766.0, 1950.8], [1767.1, 1949.8], [2002.2, 1950.0], [2002.0, 1954.4], [2001.8, 1959.1], [2001.6, 1964.2], [2001.3, 1969.3], [2001.1, 1974.5], [2000.8, 1979.5], [2000.6, 1984.2], [2000.5, 1988.4], [2000.4, 1990.8], [2000.3, 1993.3], [2000.2, 1994.7], [2000.2, 1996.2], [2000.1, 1998.0], [2000.0, 2000.0]]","0, 180",M0003
L0003,s000003,1,"[[2000.0, 3000.0], [2001.3, 3025.0], [1653.7, 3042.5], [1652.4, 3017.5], [2000.0, 3000.0]]","0, 180",M0003
L0003,s000004,1,"[[4000.0, 1000.0], [4000.0, 1068.0], [3798.8, 1068.0], [3798.8, 1000.0], [4000.0, 1000.0]]","0, 180",M0003
L0003,s000005,1,"[[4000.0, 2000.0], [4000.3, 2001.2], [4001.5, 2004.7], [4002.3, 2006.3], [4003.2, 2007.9], [4005.3, 2010.6], [4007.8, 2012.9], [4010.4, 2014.7], [4013.2, 2016.1], [4016.2, 2017.3], [4019.2, 2018.2], [4026.4, 2020.1], [4033.6, 2021.9], [4040.7, 2023.5], [4047.4, 2025.0], [4050.7, 2025.8], [4054.0, 2026.6], [4057.6, 2027.4], [4059.6, 2027.9], [4061.7, 2028.4], [4058.7, 2035.4], [4055.5, 2042.8], [4052.3, 2050.3], [4050.3, 2055.1], [4049.1, 2057.9], [4044.5, 2069.2], [4040.0, 2080.4], [4029.9, 2106.3], [4020.6, 2129.3], [4015.3, 2142.0], [4009.9, 2154.8], [4008.4, 2158.1], [4005.2, 2165.1], [4002.9, 2170.2], [4000.5, 2175.1], [3997.0, 2181.8], [3995.2, 2185.2], [3993.2, 2188.9], [3991.8, 2188.2], [3990.6, 2187.5], [3989.6, 2187.0], [3988.8, 2186.6], [3987.4, 2185.8], [3986.3, 2185.2], [3984.6, 2184.4], [3982.8, 2183.5], [3978.7, 2181.4], [3974.1, 2179.2], [3969.2, 2176.8], [3964.1, 2174.3], [3958.8, 2171.8], [3953.5, 2169.4], [3948.3, 2167.0], [3943.8, 2165.0], [3939.4, 2163.0], [3930.7, 2159.3], [3916.2, 2153.3], [3901.5, 2147.3], [3890.7, 2143.4], [3885.3, 2141.5], [3881.8, 2140.5], [3879.8, 2139.9], [3870.3, 2137.5], [3860.6, 2135.4], [3851.5, 2133.6], [3846.9, 2132.8], [3842.3, 2132.2], [3835.2, 2131.6], [3828.1, 2131.4], [3820.0, 2131.6], [3812.0, 2132.3], [3805.8, 2133.2], [3799.7, 2134.4], [3797.1, 2135.1], [3794.5, 2135.9], [3791.9, 2137.0], [3789.4, 2138.1], [3786.8, 2139.3], [3784.3, 2140.7], [3782.9, 2141.8], [3781.6, 2143.0], [3779.0, 2145.6], [3776.5, 2148.3], [3774.5, 2151.0], [3772.8, 2153.8], [3771.0, 2157.4], [3769.6, 2161.1], [3768.1, 2165.6], [3766.8, 2170.0], [3761.2, 2168.7], [3755.9, 2167.5], [3745.9, 2165.5], [3738.2, 2164.1], [3730.3, 2162.8], [3714.2, 2160.6], [3698.9, 2158.6], [3683.6, 2157.0], [3668.6, 2155.7], [3653.5, 2154.7], [3640.4, 2154.1], [3633.9, 2153.9], [3630.8, 2153.9], [3627.4, 2154.0], [3616.5, 2154.4], [3605.6, 2155.0], [3598.2, 2155.5], [3590.8, 2156.2], [3581.2, 2157.4], [3571.5, 2158.9], [3553.5, 2161.6], [3535.8, 2164.2], [3521.6, 2166.4], [3514.3, 2167.5], [3506.8, 2168.6], [3495.9, 2166.3], [3486.7, 2167.0], [3477.1, 2167.8], [3467.1, 2168.5], [3456.8, 2169.2], [3446.3, 2169.9], [3435.7, 2170.6], [3425.1, 2171.3], [3414.6, 2171.8], [3402.4, 2172.4], [3390.4, 2172.9], [3366.4, 2173.8], [3343.4, 2174.6], [3320.2, 2175.2], [3295.1, 2175.4], [3270.9, 2175.5], [3270.1, 2175.5], [3258.4, 2175.7], [3246.2, 2175.9], [3234.0, 2176.2], [3222.4, 2176.5], [3210.8, 2176.9], [3199.4, 2177.3], [3193.9, 2177.5], [3188.5, 2177.6], [3173.2, 1979.2], [3201.3, 1978.5], [3201.4, 1977.1], [3201.5, 1975.9], [3201.8, 1973.7], [3202.1, 1971.5], [3202.6, 1969.2], [3203.8, 1964.5], [3205.4, 1958.3], [3206.4, 1955.2], [3207.5, 1952.3], [3209.5, 1947.9], [3211.8, 1943.6], [3214.5, 1939.4], [3216.0, 1937.4], [3217.6, 1935.6], [3220.5, 1933.1], [3223.6, 1930.8], [3228.5, 1927.3], [3233.5, 1924.0], [3237.3, 1921.9], [3241.3, 1919.9], [3245.4, 1918.1], [3249.5, 1916.4], [3259.7, 1912.6], [3270.1, 1909.0], [3282.7, 1905.1], [3295.4, 1901.4], [3313.6, 1896.6], [3322.7, 1894.3], [3331.9, 1892.2], [3342.5, 1890.0], [3353.2, 1888.0], [3374.7, 1884.2], [3393.9, 1881.2], [3403.5, 1879.8], [3413.1, 1878.7], [3422.1, 1877.8], [3431.1, 1877.1], [3449.2, 1875.9], [3489.2, 1873.6], [3497.7, 1873.2], [3523.1, 1872.0], [3548.7, 1871.1], [3563.3, 1870.8], [3578.0, 1870.6], [3592.5, 1870.5], [3606.6, 1870.5], [3606.9, 1866.0], [3617.0, 1865.5], [3626.9, 1865.1], [3636.5, 1864.7], [3646.1, 1864.5], [3657.8, 1864.4], [3669.6, 1864.4], [3681.4, 1864.7], [3693.3, 1865.1], [3712.7, 1866.2], [3732.0, 1867.7], [3751.3, 1869.5], [3776.0, 1872.3], [3790.8, 1874.2], [3805.6, 1876.2], [3820.5, 1878.3], [3835.7, 1880.4], [3845.9, 1881.9], [3856.2, 1883.5], [3877.0, 1886.6], [3897.9, 1889.9], [3918.6, 1893.1], [3928.7, 1894.8], [3938.7, 1896.3], [3948.4, 1897.9], [3957.9, 1899.4], [3967.1, 1900.9], [3976.0, 1902.4], [3984.5, 1903.7], [3992.6, 1905.1], [3993.4, 1953.2], [3994.3, 1963.2], [3995.5, 1972.8], [3997.1, 1983.2], [3998.8, 1993.7], [3999.5, 1997.5], [4000.0, 2000.0]]","0, 180",M0003
L0003,s000006,1,"[[4000.0, 3000.0], [4300.0, 3000.0], [4300.0, 3040.0], [4000.0, 3040.0], [4000.0, 3000.0]]","0, 180",M0003
L0003,s000007,1,"[[6000.0, 1000.0], [6000.0, 1060.7], [5867.7, 1060.7], [5867.7, 1000.0], [6000.0, 1000.0]]","0, 180",M0003
L0003,s000008,1,"[[6000.0, 2000.0], [6000.0, 1960.0], [6300.0, 1960.0], [6300.0, 2000.0], [6000.0, 2000.0]]","0, 180",M0003
L0003,s000009,1,"[[6000.0, 3000.0], [6209.1, 3000.0], [6216.4, 3041.7], [6242.1, 3041.7], [6255.7, 3041.6], [6278.5, 3041.6], [6287.6, 3041.5], [6305.6, 3041.2], [6328.8, 3040.4], [6352.0, 3039.1], [6368.1, 3037.9], [6384.1, 3036.6], [6423.5, 3033.8], [6459.9, 3031.3], [6494.3, 3029.1], [6542.0, 3026.4], [6561.2, 3025.4], [6580.5, 3024.4], [6602.7, 3023.5], [6625.0, 3023.1], [6644.4, 3023.2], [6663.8, 3023.3], [6679.5, 3023.2], [6687.4, 3023.3], [6695.3, 3023.4], [6705.5, 3023.9], [6715.6, 3024.4], [6723.1, 3024.7], [6730.7, 3025.1], [6737.7, 3025.5], [6744.6, 3025.9], [6751.3, 3026.4], [6754.5, 3026.6], [6757.5, 3026.8], [6757.5, 3041.8], [6757.6, 3049.2], [6757.6, 3060.9], [6758.0, 3072.6], [6758.8, 3083.9], [6760.0, 3095.2], [6760.7, 3099.6], [6761.4, 3104.1], [6762.3, 3108.5], [6763.5, 3112.9], [6765.0, 3117.1], [6766.9, 3121.2], [6768.8, 3124.8], [6771.0, 3128.3], [6773.0, 3131.2], [6775.2, 3134.0], [6777.7, 3136.7], [6780.4, 3139.2], [6777.6, 3144.9], [6775.2, 3149.8], [6774.7, 3150.9], [6771.6, 3157.1], [6768.8, 3163.0], [6768.5, 3163.5], [6762.2, 3176.6], [6756.0, 3189.8], [6749.1, 3205.1], [6742.6, 3220.2], [6737.7, 3232.4], [6732.8, 3244.7], [6728.7, 3255.2], [6724.6, 3265.7], [6723.6, 3268.3], [6720.9, 3275.8], [6717.4, 3285.7], [6715.3, 3292.4], [6714.2, 3295.8], [6713.0, 3299.6], [6710.4, 3299.2], [6708.1, 3298.9], [6705.9, 3298.6], [6703.8, 3298.3], [6699.9, 3297.8], [6696.2, 3297.3], [6692.2, 3296.7], [6688.0, 3296.1], [6679.4, 3294.9], [6670.5, 3293.8], [6661.6, 3292.8], [6654.4, 3292.2], [6647.4, 3291.7], [6633.4, 3290.9], [6613.6, 3290.1], [6601.2, 3289.8], [6600.2, 3289.8], [6588.6, 3289.7], [6569.9, 3289.7], [6560.8, 3289.9], [6556.4, 3289.9], [6552.2, 3290.1], [6548.3, 3290.2], [6544.2, 3290.4], [6542.1, 3290.5], [6539.8, 3290.6], [6537.3, 3290.7], [6534.7, 3290.8], [6532.0, 3302.5], [6528.6, 3301.9], [6525.1, 3301.2], [6517.6, 3299.8], [6509.7, 3298.4], [6501.4, 3296.9], [6493.0, 3295.4], [6484.4, 3294.0], [6475.8, 3292.6], [6467.4, 3291.3], [6460.2, 3290.3], [6453.1, 3289.3], [6439.1, 3287.4], [6425.0, 3285.2], [6410.9, 3283.1], [6391.6, 3280.5], [6375.0, 3278.4], [6358.3, 3276.5], [6353.5, 3276.0], [6350.0, 3275.7], [6341.6, 3275.0], [6333.2, 3274.5], [6324.9, 3274.2], [6314.5, 3274.1], [6304.1, 3274.1], [6279.6, 3274.2], [6264.7, 3274.4], [6249.8, 3274.9], [6239.1, 3275.5], [6228.5, 3276.3], [6207.2, 3277.9], [6165.2, 3281.0], [6111.3, 3285.1], [6062.8, 3288.7], [6044.2, 3290.0], [6025.6, 3291.2], [6007.1, 3292.2], [5999.8, 3292.4], [5988.6, 3292.9], [5975.2, 3293.2], [5961.5, 3293.4], [5950.8, 3293.6], [5940.0, 3293.8], [5934.8, 3293.9], [5929.6, 3294.0], [5924.7, 3294.1], [5919.9, 3294.2], [5919.1, 3056.7], [5919.0, 3000.0], [6000.0, 3000.0]]","0, 180",M0003
L0003,s000010,1,"[[8000.0, 1000.0], [8027.8, 1133.3], [7975.1, 1133.2], [7945.8, 992.5], [8000.0, 1000.0]]","0, 180",M0003
