i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds,nfp_parts
0,0,0,0,"[[-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0]]","[[0.0, 0.0], [100.0, -50.0], [200.0, 0.0], [200.0, 150.0], [100.0, 200.0], [0.0, 150.0], [0.0, 0.0]]","[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-200.0, 0.0, 200.0, 500.0]","[[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]]"
0,0,0,1,"[[-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0]]","[[200.0, 150.0], [100.0, 200.0], [0.0, 150.0], [0.0, 0.0], [100.0, -50.0], [200.0, 0.0], [200.0, 150.0]]","[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-200.0, 0.0, 200.0, 500.0]","[[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]]"
0,0,1,0,"[[100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0]]","[[0.0, 0.0], [100.0, -50.0], [200.0, 0.0], [200.0, 150.0], [100.0, 200.0], [0.0, 150.0], [0.0, 0.0]]","[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-200.0, 0.0, 200.0, 500.0]","[[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]]"
0,0,1,1,"[[100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0]]","[[200.0, 150.0], [100.0, 200.0], [0.0, 150.0], [0.0, 0.0], [100.0, -50.0], [200.0, 0.0], [200.0, 150.0]]","[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-200.0, 0.0, 200.0, 500.0]","[[[0.0, 0.0], [200.0, 100.0], [200.0, 400.0], [0.0, 500.0], [-200.0, 400.0], [-200.0, 100.0]]]"
0,1,0,0,"[[-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0]]","[[0.0, 0.0], [150.0, 0.0], [100.0, 100.0], [150.0, 200.0], [150.0, 250.0], [50.0, 250.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [300.0, 150.0], [300.0, 400.0], [250.0, 450.0], [150.0, 500.0], [0.0, 500.0], [-100.0, 450.0], [-100.0, 300.0], [-87.5, 275.0], [-100.0, 250.0], [-100.0, 50.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[25.0, 12.499999999999998], [25.0, -12.500000000000002]], [[], []], [[], []]]","[-100.0, 0.0, 300.0, 500.0]","[[[150.0, 500.0], [0.0, 500.0], [-100.0, 450.0], [-100.0, 300.0], [-87.5, 275.0]], [[-87.5, 275.0], [-100.0, 250.0], [-100.0, 50.0], [0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [300.0, 150.0], [300.0, 400.0], [250.0, 450.0], [150.0, 500.0]]]"
0,1,0,1,"[[-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0]]","[[100.0, 250.0], [-50.0, 250.0], [0.0, 150.0], [-50.0, 50.0], [-50.0, 0.0], [50.0, 0.0], [150.0, 100.0], [150.0, 200.0], [100.0, 250.0]]","[[0.0, 0.0], [150.0, 0.0], [250.0, 50.0], [250.0, 200.0], [237.5, 225.0], [250.0, 250.0], [250.0, 450.0], [150.0, 500.0], [50.0, 500.0], [-50.0, 450.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0]]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[-25.0, -12.499999999999998], [-25.0, 12.500000000000002]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-150.0, 0.0, 250.0, 500.0]","[[[0.0, 0.0], [150.0, 0.0], [250.0, 50.0], [250.0, 200.0], [237.5, 225.0]], [[237.5, 225.0], [250.0, 250.0], [250.0, 450.0], [150.0, 500.0], [50.0, 500.0], [-50.0, 450.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0], [0.0, 0.0]]]"
0,1,1,0,"[[100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0]]","[[0.0, 0.0], [150.0, 0.0], [100.0, 100.0], [150.0, 200.0], [150.0, 250.0], [50.0, 250.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [300.0, 150.0], [300.0, 400.0], [250.0, 450.0], [150.0, 500.0], [0.0, 500.0], [-100.0, 450.0], [-100.0, 300.0], [-87.5, 275.0], [-100.0, 250.0], [-100.0, 50.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[25.0, 12.499999999999998], [25.0, -12.500000000000002]], [[], []], [[], []]]","[-100.0, 0.0, 300.0, 500.0]","[[[150.0, 500.0], [0.0, 500.0], [-100.0, 450.0], [-100.0, 300.0], [-87.5, 275.0]], [[-87.5, 275.0], [-100.0, 250.0], [-100.0, 50.0], [0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [300.0, 150.0], [300.0, 400.0], [250.0, 450.0], [150.0, 500.0]]]"
0,1,1,1,"[[100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0]]","[[100.0, 250.0], [-50.0, 250.0], [0.0, 150.0], [-50.0, 50.0], [-50.0, 0.0], [50.0, 0.0], [150.0, 100.0], [150.0, 200.0], [100.0, 250.0]]","[[0.0, 0.0], [150.0, 0.0], [250.0, 50.0], [250.0, 200.0], [237.5, 225.0], [250.0, 250.0], [250.0, 450.0], [150.0, 500.0], [50.0, 500.0], [-50.0, 450.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0]]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[-25.0, -12.499999999999998], [-25.0, 12.500000000000002]], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-150.0, 0.0, 250.0, 500.0]","[[[0.0, 0.0], [150.0, 0.0], [250.0, 50.0], [250.0, 200.0], [237.5, 225.0]], [[237.5, 225.0], [250.0, 250.0], [250.0, 450.0], [150.0, 500.0], [50.0, 500.0], [-50.0, 450.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0], [0.0, 0.0]]]"
0,2,0,0,"[[-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0]]","[[0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [250.0, 100.0], [250.0, 350.0], [200.0, 400.0], [100.0, 450.0], [0.0, 450.0], [-100.0, 400.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-150.0, 0.0, 250.0, 450.0]","[[[0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [250.0, 100.0], [250.0, 350.0], [200.0, 400.0], [100.0, 450.0], [0.0, 450.0], [-100.0, 400.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0]]]"
0,2,0,1,"[[-100.0, 50.0], [0.0, 0.0], [100.0, 50.0], [100.0, 200.0], [0.0, 250.0], [-100.0, 200.0], [-100.0, 50.0]]","[[100.0, 200.0], [0.0, 200.0], [-50.0, 150.0], [-50.0, 50.0], [0.0, 0.0], [100.0, 0.0], [150.0, 50.0], [150.0, 150.0], [100.0, 200.0]]","[[0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [250.0, 100.0], [250.0, 350.0], [200.0, 400.0], [100.0, 450.0], [0.0, 450.0], [-100.0, 400.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-150.0, 0.0, 250.0, 450.0]","[[[0.0, 0.0], [100.0, 0.0], [200.0, 50.0], [250.0, 100.0], [250.0, 350.0], [200.0, 400.0], [100.0, 450.0], [0.0, 450.0], [-100.0, 400.0], [-150.0, 350.0], [-150.0, 100.0], [-100.0, 50.0]]]"
