desc,num,polygon
"No 1",3,"[[0.0, 8.0], [1.0, 7.0], [7.0, 5.0], [12.0, 0.0], [15.0, 3.0], [10.0, 8.0], [11.0, 9.0], [1.0, 9.0]]"
"No 2",3,"[[2.0, 12.0], [0.0, 0.0], [5.0, 0.0], [9.0, 0.0], [9.0, 2.0], [5.0, 12.0], [2.0, 12.0]]"
"No 3",3,"[[2.0, 24.0], [0.0, 18.0], [0.0, 6.0], [2.0, 0.0], [9.0, 0.0], [11.0, 6.0], [11.0, 18.0], [9.0, 24.0]]"
"No 4",3,"[[0.0, 15.0], [0.0, 0.0], [14.0, 0.0], [14.0, 15.0]]"
"No 5",1,"[[0.0, 0.0], [9.0, 0.0], [7.0, 5.0], [2.0, 5.0]]"
"No 5合并",1,"[[0.0, 0.0], [14.0, 0.0], [16.0, 5.0], [2.0, 5.0]]"
"No 6",3,"[[0.0, 32.0], [1.0, 3.0], [3.0, 0.0], [6.0, 1.0], [11.0, 11.0], [5.0, 31.0], [2.0, 33.0]]"
"No 7",1,"[[0.0, 3.0], [5.0, 0.0], [23.0, 0.0], [13.0, 5.0], [1.0, 5.0]]"
"No 7 的合并结果",1,"[[0.0, 3.0], [5.0, 0.0], [35.0, 0.0], [36.0, 2.0], [31.0, 5.0], [1.0, 5.0]]"
"No 8",3,"[[1.0, 0.0], [4.0, 0.0], [5.0, 6.0], [1.0, 6.0], [0.0, 6.0]]"
"No 9",1,"[[0.0, 2.0], [1.0, 0.0], [8.0, 0.0], [6.0, 3.0]]"
"No 9合并",1,"[[0.0, 5.0], [3.0, 0.0], [10.0, 0.0], [7.0, 5.0]]"
"No 10",3,"[[0.0, 0.0], [14.0, 0.0], [5.0, 6.4]]"
