num,polygon
1,"[[0.0, 0.0], [35.0, 0.0], [0.0, 34.0]]"
1,"[[0.0, 0.0], [33.0, 0.0], [18.0, 15.0]]"
1,"[[0.0, 0.0], [32.0, 0.0], [32.0, 41.0], [14.0, 33.0]]"
1,"[[35.0, 0.0], [53.0, 15.0], [51.0, 38.0], [48.0, 62.0], [39.0, 57.0], [0.0, 34.0]]"
1,"[[2.0, 15.0], [17.0, 0.0], [31.0, 33.0], [25.0, 34.0], [0.0, 38.0]]"
1,"[[0.0, 0.0], [39.0, 23.0], [20.0, 26.0], [0.0, 66.0]]"
1,"[[3.0, 4.0], [28.0, 0.0], [30.0, 18.0], [32.0, 39.0], [25.0, 37.0], [0.0, 28.0]]"
1,"[[0.0, 1.0], [6.0, 0.0], [24.0, 8.0], [2.0, 19.0]]"
1,"[[0.0, 11.0], [22.0, 0.0], [2.0, 32.0]]"
1,"[[0.0, 32.0], [20.0, 0.0], [20.0, 37.0]]"
1,"[[1.0, 0.0], [26.0, 9.0], [0.0, 15.0]]"
1,"[[0.0, 3.0], [19.0, 0.0], [28.0, 5.0], [27.0, 20.0], [24.0, 43.0]]"
1,"[[20.0, 0.0], [44.0, 40.0], [0.0, 40.0]]"
1,"[[3.0, 6.0], [29.0, 0.0], [36.0, 2.0], [0.0, 29.0]]"
1,"[[0.0, 27.0], [36.0, 0.0], [56.0, 27.0]]"
1,"[[0.0, 0.0], [20.0, 5.0], [20.0, 27.0]]"
