i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds,nfp_parts
0,0,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 0.0], [350.0, 0.0], [350.0, 340.0], [0.0, 680.0], [-350.0, 680.0], [-350.0, 340.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-350.0, 0.0, 350.0, 680.0]","[[[0.0, 0.0], [350.0, 0.0], [350.0, 340.0], [0.0, 680.0], [-350.0, 680.0], [-350.0, 340.0]]]"
0,1,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 0.0], [330.0, 0.0], [180.0, 150.0], [0.0, 0.0]]","[[0.0, 0.0], [350.0, 0.0], [530.0, 150.0], [180.0, 490.0], [-150.0, 490.0], [-150.0, 150.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-150.0, 0.0, 530.0, 490.0]","[[[0.0, 0.0], [350.0, 0.0], [530.0, 150.0], [180.0, 490.0], [-150.0, 490.0], [-150.0, 150.0]]]"
0,2,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 0.0], [320.0, 0.0], [320.0, 410.0], [140.0, 330.0], [0.0, 0.0]]","[[0.0, 0.0], [350.0, 0.0], [530.0, 80.0], [670.0, 410.0], [320.0, 750.0], [0.0, 750.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 670.0, 750.0]","[[[0.0, 0.0], [350.0, 0.0], [530.0, 80.0], [670.0, 410.0], [320.0, 750.0], [0.0, 750.0]]]"
0,3,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[350.0, 0.0], [530.0, 150.0], [510.0, 380.0], [480.0, 620.0], [390.0, 570.0], [0.0, 340.0], [350.0, 0.0]]","[[0.0, 0.0], [350.0, 0.0], [440.0, 50.0], [830.0, 280.0], [130.0, 960.0], [-50.0, 810.0], [-50.0, 470.0], [-30.0, 240.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-50.0, 0.0, 830.0, 960.0]","[[[0.0, 0.0], [350.0, 0.0], [440.0, 50.0], [830.0, 280.0], [130.0, 960.0], [-50.0, 810.0], [-50.0, 470.0], [-30.0, 240.0]]]"
0,4,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[20.0, 150.0], [170.0, 0.0], [310.0, 330.0], [250.0, 340.0], [0.0, 380.0], [20.0, 150.0]]","[[0.0, 0.0], [350.0, 0.0], [330.0, 230.0], [180.0, 380.0], [-170.0, 720.0], [-310.0, 390.0], [-310.0, 50.0], [-250.0, 40.0]]","[1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-310.0, 0.0, 350.0, 720.0]","[[[0.0, 0.0], [350.0, 0.0], [330.0, 230.0], [180.0, 380.0], [-170.0, 720.0], [-310.0, 390.0], [-310.0, 50.0], [-250.0, 40.0]]]"
0,5,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 0.0], [390.0, 230.0], [200.0, 260.0], [0.0, 660.0], [0.0, 0.0]]","[[0.0, 0.0], [350.0, 0.0], [350.0, 660.0], [0.0, 1000.0], [-390.0, 770.0], [-390.0, 430.0], [-200.0, 400.0]]","[1, 1, 1, 1, 1, 1, 0]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[30.00000000000001, 190.0], [400.0, 199.99999999999997]]]","[-390.0, 0.0, 350.0, 1000.0]","[[[-200.0, 400.0], [0.0, 0.0], [350.0, 0.0], [350.0, 660.0]], [[350.0, 660.0], [0.0, 1000.0], [-390.0, 770.0], [-390.0, 430.0], [-200.0, 400.0]]]"
0,6,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[30.0, 40.0], [280.0, 0.0], [300.0, 180.0], [320.0, 390.0], [250.0, 370.0], [0.0, 280.0], [30.0, 40.0]]","[[0.0, 0.0], [350.0, 0.0], [420.0, 20.0], [670.0, 110.0], [640.0, 350.0], [290.0, 690.0], [40.0, 730.0], [20.0, 550.0], [0.0, 340.0]]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 670.0, 730.0]","[[[0.0, 0.0], [350.0, 0.0], [420.0, 20.0], [670.0, 110.0], [640.0, 350.0], [290.0, 690.0], [40.0, 730.0], [20.0, 550.0], [0.0, 340.0]]]"
0,7,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 10.0], [60.0, 0.0], [240.0, 80.0], [20.0, 190.0], [0.0, 10.0]]","[[0.0, 0.0], [350.0, 0.0], [370.0, 180.0], [20.0, 520.0], [-40.0, 530.0], [-220.0, 450.0], [-220.0, 110.0]]","[1, 1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-220.0, 0.0, 370.0, 530.0]","[[[0.0, 0.0], [350.0, 0.0], [370.0, 180.0], [20.0, 520.0], [-40.0, 530.0], [-220.0, 450.0], [-220.0, 110.0]]]"
0,8,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 110.0], [220.0, 0.0], [20.0, 320.0], [0.0, 110.0]]","[[0.0, 0.0], [350.0, 0.0], [370.0, 210.0], [20.0, 550.0], [-200.0, 660.0], [-200.0, 320.0]]","[1, 1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []], [[], []]]","[-200.0, 0.0, 370.0, 660.0]","[[[0.0, 0.0], [350.0, 0.0], [370.0, 210.0], [20.0, 550.0], [-200.0, 660.0], [-200.0, 320.0]]]"
0,9,0,0,"[[0.0, 0.0], [350.0, 0.0], [0.0, 340.0], [0.0, 0.0]]","[[0.0, 320.0], [200.0, 0.0], [200.0, 370.0], [0.0, 320.0]]","[[0.0, 0.0], [350.0, 0.0], [550.0, 50.0], [350.0, 370.0], [0.0, 710.0]]","[1, 1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 550.0, 710.0]","[[[0.0, 0.0], [350.0, 0.0], [550.0, 50.0], [350.0, 370.0], [0.0, 710.0]]]"
