i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds,nfp_parts
0,0,0,0,"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 400.0, 400.0]","[[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]]"
0,0,0,1,"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0]]","[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 400.0, 400.0]","[[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]]"
0,0,0,2,"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0]]","[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 400.0, 400.0]","[[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]]"
0,0,0,3,"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[200.0, 0.0], [200.0, 400.0], [-200.0, 400.0], [-200.0, 0.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[-400.0, 0.0, 0.0, 400.0]","[[[0.0, 0.0], [0.0, 400.0], [-400.0, 400.0], [-400.0, 0.0]]]"
0,0,1,0,"[[0.0, 0.0], [0.0, 200.0], [-200.0, 200.0], [-200.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[200.0, 0.0], [200.0, 400.0], [-200.0, 400.0], [-200.0, 0.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[-400.0, 0.0, 0.0, 400.0]","[[[0.0, 0.0], [0.0, 400.0], [-400.0, 400.0], [-400.0, 0.0]]]"
0,0,1,1,"[[0.0, 0.0], [0.0, 200.0], [-200.0, 200.0], [-200.0, 0.0], [0.0, 0.0]]","[[200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0]]","[[200.0, 0.0], [200.0, 400.0], [-200.0, 400.0], [-200.0, 0.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[-400.0, 0.0, 0.0, 400.0]","[[[0.0, 0.0], [0.0, 400.0], [-400.0, 400.0], [-400.0, 0.0]]]"
0,0,1,2,"[[0.0, 0.0], [0.0, 200.0], [-200.0, 200.0], [-200.0, 0.0], [0.0, 0.0]]","[[200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0]]","[[200.0, 0.0], [200.0, 400.0], [-200.0, 400.0], [-200.0, 0.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[-400.0, 0.0, 0.0, 400.0]","[[[0.0, 0.0], [0.0, 400.0], [-400.0, 400.0], [-400.0, 0.0]]]"
0,0,1,3,"[[0.0, 0.0], [0.0, 200.0], [-200.0, 200.0], [-200.0, 0.0], [0.0, 0.0]]","[[0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]","[[0.0, 0.0], [0.0, 400.0], [-400.0, 400.0], [-400.0, 0.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[-400.0, 0.0, 0.0, 400.0]","[[[0.0, 0.0], [0.0, 400.0], [-400.0, 400.0], [-400.0, 0.0]]]"
0,0,2,0,"[[200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0]]","[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 400.0, 400.0]","[[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]]"
0,0,2,1,"[[200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0]]","[[200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0]]","[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]","[1, 1, 1, 1]","[[[], []], [[], []], [[], []], [[], []]]","[0.0, 0.0, 400.0, 400.0]","[[[0.0, 0.0], [400.0, 0.0], [400.0, 400.0], [0.0, 400.0]]]"
