o_0,o_1,o_2,o_3,ver_sym,hori_sym
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0]]","[[200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0]]","[[0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]",1,1
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0]]","[[200.0, 0.0], [200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0]]","[[200.0, 200.0], [0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0]]","[[0.0, 200.0], [0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 200.0]]",1,1
"[[0.0, 0.0], [280.0, 0.0], [280.0, 180.0], [0.0, 180.0], [0.0, 0.0]]","[[230.0, -50.0], [230.0, 230.0], [50.0, 230.0], [50.0, -50.0], [230.0, -50.0]]","[[280.0, 180.0], [0.0, 180.0], [0.0, 0.0], [280.0, 0.0], [280.0, 180.0]]","[[50.0, 230.0], [50.0, -50.0], [230.0, -50.0], [230.0, 230.0], [50.0, 230.0]]",1,1
"[[0.0, 0.0], [280.0, 0.0], [140.0, 140.0], [0.0, 0.0]]","[[210.0, -70.0], [210.0, 210.0], [70.0, 70.0], [210.0, -70.0]]","[[280.0, 140.0], [0.0, 140.0], [140.0, 0.0], [280.0, 140.0]]","[[70.0, 210.0], [70.0, -70.0], [210.0, 70.0], [70.0, 210.0]]",0,0
"[[0.0, 180.0], [0.0, 0.0], [280.0, 180.0], [0.0, 180.0]]","[[50.0, -50.0], [230.0, -50.0], [50.0, 230.0], [50.0, -50.0]]","[[280.0, 0.0], [280.0, 180.0], [0.0, 0.0], [280.0, 0.0]]","[[230.0, 230.0], [50.0, 230.0], [230.0, -50.0], [230.0, 230.0]]",0,0
"[[0.0, 0.0], [280.0, 0.0], [280.0, 280.0], [0.0, 280.0], [0.0, 0.0]]","[[280.0, 0.0], [280.0, 280.0], [0.0, 280.0], [0.0, 0.0], [280.0, 0.0]]","[[280.0, 280.0], [0.0, 280.0], [0.0, 0.0], [280.0, 0.0], [280.0, 280.0]]","[[0.0, 280.0], [0.0, 0.0], [280.0, 0.0], [280.0, 280.0], [0.0, 280.0]]",1,1
"[[0.0, 0.0], [200.0, 80.0], [200.0, 180.0], [0.0, 180.0], [0.0, 0.0]]","[[190.0, -10.0], [110.0, 190.0], [10.0, 190.0], [10.0, -10.0], [190.0, -10.0]]","[[200.0, 180.0], [0.0, 100.0], [0.0, 0.0], [200.0, 0.0], [200.0, 180.0]]","[[10.0, 190.0], [90.0, -10.0], [190.0, -10.0], [190.0, 190.0], [10.0, 190.0]]",0,0
"[[0.0, 0.0], [100.0, 0.0], [100.0, 180.0], [0.0, 180.0], [0.0, 0.0]]","[[140.0, 40.0], [140.0, 140.0], [-40.0, 140.0], [-40.0, 40.0], [140.0, 40.0]]","[[100.0, 180.0], [0.0, 180.0], [0.0, 0.0], [100.0, 0.0], [100.0, 180.0]]","[[-40.0, 140.0], [-40.0, 40.0], [140.0, 40.0], [140.0, 140.0], [-40.0, 140.0]]",1,1
"[[0.0, 0.0], [280.0, 0.0], [280.0, 280.0], [0.0, 0.0]]","[[280.0, 0.0], [280.0, 280.0], [0.0, 280.0], [280.0, 0.0]]","[[280.0, 280.0], [0.0, 280.0], [0.0, 0.0], [280.0, 280.0]]","[[0.0, 280.0], [0.0, 0.0], [280.0, 0.0], [0.0, 280.0]]",0,0
"[[0.0, 0.0], [200.0, 0.0], [200.0, 200.0], [0.0, 280.0], [0.0, 0.0]]","[[240.0, 40.0], [240.0, 240.0], [40.0, 240.0], [-40.0, 40.0], [240.0, 40.0]]","[[200.0, 280.0], [0.0, 280.0], [0.0, 80.0], [200.0, 0.0], [200.0, 280.0]]","[[-40.0, 240.0], [-40.0, 40.0], [160.0, 40.0], [240.0, 240.0], [-40.0, 240.0]]",0,0
"[[0.0, 160.0], [80.0, 0.0], [160.0, 160.0], [0.0, 160.0]]","[[0.0, 0.0], [160.0, 80.0], [0.0, 160.0], [0.0, 0.0]]","[[160.0, 0.0], [80.0, 160.0], [0.0, 0.0], [160.0, 0.0]]","[[160.0, 160.0], [0.0, 80.0], [160.0, 0.0], [160.0, 160.0]]",0,0
"[[0.0, 0.0], [280.0, 0.0], [140.0, 240.0], [0.0, 0.0]]","[[260.0, -20.0], [260.0, 260.0], [20.0, 120.0], [260.0, -20.0]]","[[280.0, 240.0], [0.0, 240.0], [140.0, 0.0], [280.0, 240.0]]","[[20.0, 260.0], [20.0, -20.0], [260.0, 120.0], [20.0, 260.0]]",0,0
