o_0,o_1,ver_sym
"[[0.0, 0.0], [-1.0, -64.2], [0.2, -128.4], [30.200000000000003, -132.0], [51.800000000000004, -138.20000000000002], [84.60000000000001, -147.6], [109.4, -154.0], [136.0, -160.20000000000002], [171.60000000000002, -167.4], [197.60000000000002, -136.4], [215.0, -124.0], [242.20000000000002, -110.60000000000001], [263.8, -105.4], [296.2, -105.2], [319.40000000000003, -108.0], [347.40000000000003, -112.80000000000001], [343.8, -88.0], [341.6, -63.400000000000006], [343.6, -38.800000000000004], [347.20000000000005, -14.0], [319.20000000000005, -19.0], [296.0, -21.8], [263.6, -21.8], [242.0, -16.6], [214.8, -3.4000000000000004], [197.20000000000002, 9.0], [171.20000000000002, 39.800000000000004], [135.6, 32.4], [109.0, 26.200000000000003], [84.2, 19.6], [51.400000000000006, 10.0], [29.8, 3.8000000000000003], [0.0, 0.0]]","[[346.40000000000003, -127.6], [347.40000000000003, -63.39999999999999], [346.20000000000005, 0.8000000000000114], [316.20000000000005, 4.400000000000006], [294.6, 10.600000000000023], [261.8, 20.0], [237.00000000000003, 26.400000000000006], [210.40000000000003, 32.60000000000002], [174.8, 39.80000000000001], [148.8, 8.800000000000011], [131.40000000000003, -3.5999999999999943], [104.20000000000002, -16.999999999999986], [82.60000000000002, -22.19999999999999], [50.200000000000045, -22.39999999999999], [27.0, -19.599999999999994], [-1.0, -14.799999999999983], [2.6000000000000227, -39.599999999999994], [4.800000000000011, -64.19999999999999], [2.8000000000000114, -88.79999999999998], [-0.8000000000000114, -113.6], [27.19999999999999, -108.6], [50.400000000000034, -105.8], [82.80000000000001, -105.8], [104.40000000000003, -111.0], [131.60000000000002, -124.19999999999999], [149.20000000000002, -136.6], [175.20000000000002, -167.4], [210.80000000000004, -160.0], [237.40000000000003, -153.8], [262.20000000000005, -147.2], [295.0, -137.6], [316.6, -131.4], [346.40000000000003, -127.6]]",0
"[[0.0, 0.0], [1.6, -29.6], [5.392452800000001, -59.9396226], [13.6886954, -92.4864202], [35.800000000000004, -89.80000000000001], [57.6, -89.2], [80.2, -92.60000000000001], [109.60000000000001, -99.4], [152.803142, -109.11233420000002], [161.0, -70.0], [177.4, -39.2], [151.0, -35.2], [131.0, -31.0], [104.60000000000001, -24.200000000000003], [54.400000000000006, -10.4], [23.4906612, -2.3754602], [0.0, 0.0]]","[[177.4, -109.11233420000002], [175.8, -79.51233420000003], [172.0075472, -49.17271160000002], [163.7113046, -16.625914000000023], [141.6, -19.31233420000001], [119.80000000000001, -19.912334200000018], [97.2, -16.512334200000012], [67.8, -9.712334200000015], [24.596857999999997, 0.0], [16.400000000000006, -39.11233420000002], [0.0, -69.91233420000002], [26.400000000000006, -73.91233420000002], [46.400000000000006, -78.11233420000002], [72.8, -84.91233420000002], [123.0, -98.71233420000002], [153.9093388, -106.73687400000001], [177.4, -109.11233420000002]]",0
"[[-31.8, -37.0], [-65.60000000000001, -45.6], [-94.80000000000001, -52.400000000000006], [-138.9692308, -61.51428580000001], [-161.32903220000003, -71.8956222], [-106.4, -76.80000000000001], [-81.60000000000001, -80.0], [-43.0, -88.60000000000001], [-15.4, -100.2], [26.0, -124.0], [52.800000000000004, -117.80000000000001], [95.57436820000001, -108.76985560000001], [130.502439, -97.00836240000001], [153.20000000000002, -86.2], [178.60000000000002, -72.4], [223.0, -51.6], [225.0, -26.200000000000003], [226.60000000000002, -1.4000000000000001], [188.0, 4.6000000000000005], [158.4, 9.0], [136.0, 11.8], [104.80000000000001, 14.0], [71.5052632, 14.0], [36.2, 8.8], [0.19056660000000003, 0.8363752], [-31.8, -37.0]]","[[97.07096779999999, -73.0], [130.87096780000002, -64.4], [160.0709678, -57.599999999999994], [204.24019859999999, -48.48571419999999], [226.60000000000002, -38.104377799999995], [171.6709678, -33.19999999999999], [146.87096780000002, -30.0], [108.2709678, -21.39999999999999], [80.6709678, -9.799999999999997], [39.270967799999994, 14.0], [12.47096779999999, 7.800000000000011], [-30.303400400000015, -1.2301443999999861], [-65.23147120000002, -12.99163759999999], [-87.92903220000002, -23.799999999999997], [-113.32903220000003, -37.599999999999994], [-157.7290322, -58.4], [-159.7290322, -83.8], [-161.32903220000003, -108.6], [-122.7290322, -114.6], [-93.12903220000001, -119.0], [-70.7290322, -121.8], [-39.52903220000002, -124.0], [-6.234295400000008, -124.0], [29.07096779999999, -118.8], [65.0804012, -110.8363752], [97.07096779999999, -73.0]]",0
"[[0.0, 0.0], [1.6, -34.4], [61.800000000000004, -33.2], [96.80000000000001, -33.0], [123.2, -33.4], [143.6, -34.4], [175.20000000000002, -38.800000000000004], [206.20000000000002, -49.6], [270.2909804, -22.219359600000004], [241.8, -11.4], [209.79412480000002, -1.3642594000000001], [181.8, 3.2], [157.0, 5.2], [133.6, 5.800000000000001], [102.2, 5.2], [42.6, 2.8000000000000003], [0.0, 0.0]]","[[270.2909804, -43.8], [268.6909804, -9.399999999999999], [208.4909804, -10.599999999999994], [173.4909804, -10.799999999999997], [147.09098040000003, -10.399999999999999], [126.69098040000003, -9.399999999999999], [95.0909804, -4.999999999999993], [64.0909804, 5.800000000000004], [0.0, -21.580640399999993], [28.490980400000012, -32.4], [60.4968556, -42.435740599999995], [88.49098040000001, -47.0], [113.29098040000002, -49.0], [136.69098040000003, -49.599999999999994], [168.09098040000003, -49.0], [227.69098040000003, -46.599999999999994], [270.2909804, -43.8]]",0
"[[0.0, 0.0], [6.792000000000001, -28.583], [15.4, -53.6], [17.8, -77.60000000000001], [-165.20000000000002, -87.80000000000001], [-164.8, -119.60000000000001], [7.800000000000001, -121.4], [33.800000000000004, -130.0], [41.800000000000004, -160.0], [50.2, -188.0], [74.2, -184.8], [70.8, -145.20000000000002], [69.60000000000001, -122.0], [70.0, -82.4], [72.0, -52.800000000000004], [76.4, -18.8], [97.73824580000002, 46.4225628], [70.4, 10.8], [43.400000000000006, 0.0], [0.0, 0.0]]","[[-67.4617542, -141.5774372], [-74.2537542, -112.9944372], [-82.86175420000001, -87.9774372], [-85.2617542, -63.97743719999998], [97.73824580000002, -53.77743719999998], [97.33824580000001, -21.977437199999983], [-75.2617542, -20.177437199999986], [-101.26175420000001, -11.577437199999991], [-109.26175420000001, 18.42256280000001], [-117.6617542, 46.42256280000001], [-141.66175420000002, 43.22256280000002], [-138.26175419999998, 3.6225628000000256], [-137.0617542, -19.57743719999999], [-137.4617542, -59.177437199999986], [-139.4617542, -88.77743719999998], [-143.8617542, -122.7774372], [-165.20000000000002, -188.0], [-137.8617542, -152.3774372], [-110.86175420000001, -141.5774372], [-67.4617542, -141.5774372]]",0
"[[0.0, -1.4444444], [25.960000000000004, -7.213333400000001], [61.376923000000005, 4.592307600000001], [99.0, 22.0], [123.2, 34.4], [147.4, 47.6], [171.0, 58.0], [191.8, 62.6], [214.20000000000002, 61.2], [255.0, 51.0], [252.0, 78.80000000000001], [250.0, 99.80000000000001], [252.0, 121.2], [255.0, 149.0], [214.20000000000002, 138.8], [191.8, 137.4], [171.0, 142.0], [147.4, 152.4], [123.2, 165.60000000000002], [99.0, 178.0], [61.376923000000005, 195.4076924], [25.960000000000004, 207.2133334], [0.0, 201.4444444], [0.0, -1.4444444]]","[[255.0, 201.4444444], [229.04, 207.2133334], [193.623077, 195.4076924], [156.0, 178.0], [131.8, 165.6], [107.6, 152.4], [84.0, 142.0], [63.19999999999999, 137.4], [40.79999999999998, 138.8], [0.0, 149.0], [3.0, 121.19999999999999], [5.0, 100.19999999999999], [3.0, 78.8], [0.0, 51.0], [40.79999999999998, 61.19999999999999], [63.19999999999999, 62.599999999999994], [84.0, 58.0], [107.6, 47.599999999999994], [131.8, 34.39999999999998], [156.0, 22.0], [193.623077, 4.592307599999998], [229.04, -7.21333340000001], [255.0, -1.444444400000009], [255.0, 201.4444444]]",0
"[[0.0, 0.0], [-0.8, -24.6], [-1.6, -58.2], [-3.4000000000000004, -90.80000000000001], [-8.0, -124.0], [23.8, -123.80000000000001], [49.2, -107.60000000000001], [70.4, -100.2], [98.4, -91.60000000000001], [129.4, -83.2], [153.20000000000002, -73.8], [182.60000000000002, -60.400000000000006], [212.20000000000002, -44.800000000000004], [209.20000000000002, -20.0], [207.4, 0.4], [212.20000000000002, 44.800000000000004], [182.60000000000002, 60.400000000000006], [153.20000000000002, 73.8], [129.4, 83.2], [98.4, 91.60000000000001], [70.4, 100.2], [49.2, 107.60000000000001], [23.8, 123.80000000000001], [-8.0, 124.0], [-3.4000000000000004, 90.80000000000001], [-1.6, 58.2], [-0.8, 24.6], [0.0, 0.0]]","[[204.20000000000002, 0.0], [205.00000000000003, 24.6], [205.8, 58.2], [207.60000000000002, 90.80000000000001], [212.20000000000002, 124.0], [180.4, 123.80000000000001], [155.0, 107.60000000000001], [133.8, 100.2], [105.80000000000001, 91.60000000000001], [74.80000000000001, 83.2], [51.0, 73.8], [21.599999999999994, 60.400000000000006], [-8.0, 44.800000000000004], [-5.0, 20.0], [-3.1999999999999886, -0.4], [-8.0, -44.800000000000004], [21.599999999999994, -60.400000000000006], [51.0, -73.8], [74.80000000000001, -83.2], [105.80000000000001, -91.60000000000001], [133.8, -100.2], [155.0, -107.60000000000001], [180.4, -123.80000000000001], [212.20000000000002, -124.0], [207.60000000000002, -90.80000000000001], [205.8, -58.2], [205.00000000000003, -24.6], [204.20000000000002, 0.0]]",0
"[[-15.200000000000001, -17.0], [-35.6, -40.0], [-54.0, -61.2], [-82.4, -74.8], [-191.60000000000002, -76.60000000000001], [-190.8, -108.60000000000001], [-73.2, -112.0], [-53.800000000000004, -131.8], [-18.0, -141.6], [-0.8, -107.80000000000001], [8.0, -88.60000000000001], [18.8, -62.400000000000006], [28.047618999999997, -38.063492000000004], [37.800000000000004, -8.4], [0.904868, 1.0120234000000001], [-15.200000000000001, -17.0]]","[[-138.60000000000002, -123.58797659999999], [-118.20000000000002, -100.58797659999999], [-99.80000000000001, -79.38797659999999], [-71.4, -65.7879766], [37.80000000000001, -63.98797659999998], [37.0, -31.987976599999982], [-80.60000000000001, -28.58797659999999], [-100.0, -8.787976599999979], [-135.8, 1.012023400000004], [-153.0, -32.78797659999998], [-161.8, -51.98797659999998], [-172.60000000000002, -78.18797659999998], [-181.847619, -102.5244846], [-191.60000000000002, -132.18797659999998], [-154.704868, -141.6], [-138.60000000000002, -123.58797659999999]]",0
"[[-27.1747126, -16.089655200000003], [-47.610563400000004, -40.612676], [-48.1756312, -73.3866082], [-39.4721362, -97.17616100000001], [-22.8656888, -125.123597], [-6.577027, -111.0067568], [11.6571428, -89.0], [23.628571400000002, -61.0666666], [21.7398058, -30.216828400000004], [1.4227600000000002, 2.6774362000000003], [-27.1747126, -16.089655200000003]]","[[2.6276528000000035, -106.35650559999999], [23.063503600000008, -81.83348480000001], [23.628571400000002, -49.0595526], [14.925076400000005, -25.269999799999994], [-1.681370999999995, 2.6774362000000025], [-17.970032799999995, -11.439403999999996], [-36.204202599999995, -33.4461608], [-48.1756312, -61.3794942], [-46.2868656, -92.2293324], [-25.969819799999996, -125.123597], [2.6276528000000035, -106.35650559999999]]",0
"[[-35.0777778, -14.495906400000003], [-60.800000000000004, -30.200000000000003], [-81.4, -38.6], [-102.0, -41.6], [-134.6, -38.400000000000006], [-158.0, -33.800000000000004], [-198.0, -24.8], [-205.8, -58.400000000000006], [-152.0, -70.60000000000001], [-106.2, -80.80000000000001], [-82.60000000000001, -86.0], [-57.6, -102.0], [-50.400000000000006, -140.0], [-50.400000000000006, -172.4], [-54.800000000000004, -203.0], [-106.60000000000001, -231.4], [-152.4, -241.4], [-206.20000000000002, -253.4], [-198.60000000000002, -287.0], [-158.60000000000002, -278.2], [-135.0, -273.6], [-102.4, -270.6], [-81.80000000000001, -273.6], [-61.400000000000006, -282.2], [-36.082353000000005, -297.6570898], [1.2843374, -313.78376660000004], [63.800000000000004, -299.8], [54.0, -258.0], [49.6, -228.60000000000002], [48.2, -184.4], [48.400000000000006, -156.4], [48.400000000000006, -128.4], [49.2, -98.80000000000001], [51.400000000000006, -71.60000000000001], [64.4, -13.0], [3.1695014, 1.6082112], [-35.0777778, -14.495906400000003]]","[[-106.7222222, -297.679649], [-81.0, -281.9755554], [-60.400000000000006, -273.5755554], [-39.80000000000001, -270.5755554], [-7.200000000000017, -273.77555540000003], [16.19999999999999, -278.3755554], [56.19999999999999, -287.3755554], [64.0, -253.7755554], [10.199999999999989, -241.57555539999998], [-35.60000000000001, -231.3755554], [-59.2, -226.1755554], [-84.20000000000002, -210.1755554], [-91.4, -172.1755554], [-91.4, -139.7755554], [-87.0, -109.17555540000001], [-35.2, -80.7755554], [10.599999999999994, -70.7755554], [64.4, -58.7755554], [56.80000000000001, -25.175555400000007], [16.80000000000001, -33.97555540000002], [-6.800000000000011, -38.575555399999985], [-39.400000000000006, -41.575555399999985], [-60.0, -38.575555399999985], [-80.4, -29.97555540000002], [-105.717647, -14.518465600000013], [-143.0843374, 1.608211200000028], [-205.60000000000002, -12.375555399999996], [-195.8, -54.17555540000001], [-191.4, -83.57555539999998], [-190.0, -127.7755554], [-190.20000000000002, -155.7755554], [-190.20000000000002, -183.7755554], [-191.0, -213.3755554], [-193.20000000000002, -240.57555539999998], [-206.20000000000002, -299.1755554], [-144.9695014, -313.78376660000004], [-106.7222222, -297.679649]]",0
