polygon
"[[0.0, 0.0], [12.0, -1.0], [14.0, -3.0], [24.0, 0.0], [33.0, 1.0], [59.0, 2.0], [59.0, 13.0], [4.0, 13.0], [4.0, 8.0], [2.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [0.0, -14.0], [27.0, -17.0], [37.0, -20.0], [41.0, -22.0], [47.0, -19.0], [56.0, -16.0], [56.0, 0.0]]"
"[[0.0, 0.0], [57.0, 0.0], [57.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [52.0, 0.0], [52.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [44.0, 0.0], [44.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [42.0, 0.0], [42.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [21.0, 0.0], [21.0, 2.0], [0.0, 2.0]]"
"[[0.0, 0.0], [15.0, 4.0], [13.0, 7.0], [0.0, 6.0]]"
"[[0.0, 0.0], [15.0, 1.0], [15.0, 4.0], [0.0, 4.0]]"
"[[0.0, 0.0], [14.0, 0.0], [14.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [14.0, 1.0], [14.0, 4.0], [0.0, 4.0]]"
"[[0.0, 0.0], [13.0, 0.0], [13.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [13.0, 1.0], [13.0, 4.0], [0.0, 4.0]]"
"[[0.0, 0.0], [12.0, 0.0], [12.0, 5.0], [0.0, 5.0]]"
"[[0.0, 0.0], [4.0, 2.0], [6.0, 10.0], [4.0, 11.0], [-4.0, 11.0], [-6.0, 10.0], [-4.0, 2.0]]"
"[[0.0, 0.0], [3.0, -2.0], [8.0, 0.0], [8.0, 8.0], [2.0, 8.0]]"
