i,j,oi,oj,new_poly_i,new_poly_j,nfp,convex_status,vertical_direction,bounds,nfp_parts
0,0,0,0,"[[-140.0, 30.0], [-20.0, 20.0], [0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [450.0, 160.0], [-100.0, 160.0], [-100.0, 110.0], [-120.0, 80.0], [-140.0, 80.0], [-140.0, 30.0]]","[[0.0, 0.0], [120.0, -10.0], [140.0, -30.0], [240.0, 0.0], [330.0, 10.0], [590.0, 20.0], [590.0, 130.0], [40.0, 130.0], [40.0, 80.0], [20.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[1.7053025658242404e-13, -1.4210854715202004e-14], [550.0, 0.0], [650.0, 30.0], [740.0, 40.0], [1000.0, 50.0], [1000.0, 100.0], [1019.4736842105262, 129.21052631578948], [1040.0, 130.0], [1040.0, 290.0], [920.0, 300.0], [900.0, 320.0], [350.0, 320.0], [250.0, 290.0], [160.0, 280.0], [-100.0, 270.0], [-100.0, 220.0], [-119.47368421052632, 190.78947368421052], [-139.99999999999983, 190.0], [-139.99999999999983, 29.999999999999986], [-19.99999999999983, 19.999999999999986]]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[[[], []], [[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[-50.0, 3.061616997868383e-15], [-29.21052631578948, 19.473684210526248]], [[-29.21052631578948, 19.473684210526248], [-0.7894736842105191, 20.526315789473756]], [[], []], [[], []], [[-10.000000000000007, -120.0], [-20.0, -20.0]], [[], []], [[], []], [[29.999999999999993, -100.0], [9.999999999999995, -90.0]], [[9.999999999999995, -90.0], [9.999999999999984, -260.0]], [[], []], [[50.0, -3.061616997868383e-15], [29.21052631578948, -19.47368421052632]], [[29.21052631578948, -19.47368421052632], [0.7894736842105191, -20.526315789473514]], [[], []], [[], []], [[10.000000000000007, 120.0], [20.0, 20.0]]]","[-140.0, 0.0, 1039.9999999999998, 320.0]","[[[739.9999999999998, 40.000000000000014], [999.9999999999998, 50.000000000000014], [999.9999999999998, 100.00000000000001]], [[1019.473684210526, 129.21052631578948], [1039.9999999999998, 130.0], [1039.9999999999998, 290.0]], [[1039.9999999999998, 290.0], [919.9999999999998, 300.0], [649.9999999999998, 30.000000000000014], [739.9999999999998, 40.000000000000014], [999.9999999999998, 100.00000000000001], [1019.473684210526, 129.21052631578948]], [[-20.0, 20.0], [0.0, 0.0], [549.9999999999998, 1.4210854715202004e-14], [649.9999999999998, 30.000000000000014], [919.9999999999998, 300.0], [899.9999999999998, 320.0], [349.99999999999983, 320.0], [249.99999999999983, 290.0]], [[159.99999999999983, 280.0], [-100.00000000000017, 270.0], [-100.00000000000017, 220.0]], [[-119.47368421052649, 190.78947368421052], [-140.0, 190.0], [-140.0, 30.0]], [[-140.0, 30.0], [-20.0, 20.0], [249.99999999999983, 290.0], [159.99999999999983, 280.0], [-100.00000000000017, 220.0], [-119.47368421052649, 190.78947368421052]]]"
0,0,0,1,"[[-140.0, 30.0], [-20.0, 20.0], [0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [450.0, 160.0], [-100.0, 160.0], [-100.0, 110.0], [-120.0, 80.0], [-140.0, 80.0], [-140.0, 30.0]]","[[590.0, 100.0], [470.0, 110.0], [450.0, 130.0], [350.0, 100.0], [260.0, 90.0], [0.0, 80.0], [0.0, -30.0], [550.0, -30.0], [550.0, 20.0], [570.0, 50.0], [590.0, 50.0], [590.0, 100.0]]","[[0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [550.0, 80.0], [640.0, 90.0], [900.0, 100.0], [900.0, 320.0], [-200.0, 320.0], [-200.0, 270.0], [-220.0, 240.0], [-240.0, 240.0], [-240.0, 190.0], [-260.0, 160.0], [-280.0, 160.0], [-280.0, 60.0], [-160.0, 50.0], [-140.0, 30.0], [-20.0, 20.0]]","[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0]","[[[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[], []], [[], []], [[50.0, -3.061616997868383e-15], [30.0, -20.000000000000004]], [[30.0, -20.000000000000004], [-1.2246467991473533e-15, -20.0]], [[], []], [[50.0, -3.061616997868383e-15], [30.0, -20.000000000000004]], [[30.0, -20.000000000000004], [-1.2246467991473533e-15, -20.0]], [[], []], [[], []], [[10.000000000000007, 120.0], [20.0, 20.0]], [[], []], [[10.000000000000007, 120.0], [20.0, 20.0]]]","[-280.0, 0.0, 900.0, 320.0]","[[[-20.0, 20.0], [0.0, 0.0], [100.0, 30.0]], [[-140.0, 30.0], [-20.0, 20.0], [100.0, 30.0], [190.0, 40.0]], [[190.0, 40.0], [450.0, 50.0], [550.0, 80.0]], [[640.0, 90.0], [900.0, 100.0], [900.0, 320.0]], [[-160.0, 50.0], [-140.0, 30.0], [190.0, 40.0], [550.0, 80.0], [640.0, 90.0], [900.0, 320.0], [-200.0, 320.0], [-200.0, 270.0]], [[-220.0, 240.0], [-240.0, 240.0], [-240.0, 190.0]], [[-280.0, 60.0], [-240.0, 190.0], [-260.0, 160.0]], [[-260.0, 160.0], [-280.0, 160.0], [-280.0, 60.0]], [[-280.0, 60.0], [-160.0, 50.0], [-200.0, 270.0], [-220.0, 240.0], [-240.0, 190.0]]]"
0,0,1,0,"[[590.0, 130.0], [470.0, 140.0], [450.0, 160.0], [350.0, 130.0], [260.0, 120.0], [0.0, 110.0], [0.0, 0.0], [550.0, 0.0], [550.0, 50.0], [570.0, 80.0], [590.0, 80.0], [590.0, 130.0]]","[[0.0, 0.0], [120.0, -10.0], [140.0, -30.0], [240.0, 0.0], [330.0, 10.0], [590.0, 20.0], [590.0, 130.0], [40.0, 130.0], [40.0, 80.0], [20.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [1100.0, 0.0], [1100.0, 50.0], [1120.0, 80.0], [1140.0, 80.0], [1140.0, 130.0], [1160.0, 160.0], [1180.0, 160.0], [1180.0, 260.0], [1060.0, 270.0], [1040.0, 290.0], [920.0, 300.0], [900.0, 320.0], [800.0, 290.0], [710.0, 280.0], [450.0, 270.0], [350.0, 240.0], [260.0, 230.0], [0.0, 220.0]]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]","[[[], []], [[], []], [[-50.0, 3.061616997868383e-15], [-30.0, 20.000000000000004]], [[-30.0, 20.000000000000004], [1.2246467991473533e-15, 20.0]], [[], []], [[-50.0, 3.061616997868383e-15], [-30.0, 20.000000000000004]], [[-30.0, 20.000000000000004], [1.2246467991473533e-15, 20.0]], [[], []], [[], []], [[-10.000000000000007, -120.0], [-20.0, -20.0]], [[], []], [[-10.000000000000007, -120.0], [-20.0, -20.0]], [[], []], [[29.999999999999993, -100.0], [9.999999999999995, -90.0]], [[9.999999999999995, -90.0], [9.999999999999984, -260.0]], [[], []], [[29.999999999999993, -100.0], [9.999999999999995, -90.0]], [[9.999999999999995, -90.0], [9.999999999999984, -260.0]], [[], []]]","[0.0, 0.0, 1180.0, 320.0]","[[[1120.0, 80.0], [1140.0, 80.0], [1140.0, 130.0]], [[1180.0, 260.0], [1140.0, 130.0], [1160.0, 160.0]], [[1160.0, 160.0], [1180.0, 160.0], [1180.0, 260.0]], [[1180.0, 260.0], [1060.0, 270.0], [1100.0, 50.0], [1120.0, 80.0], [1140.0, 130.0]], [[920.0, 300.0], [900.0, 320.0], [800.0, 290.0]], [[1040.0, 290.0], [920.0, 300.0], [800.0, 290.0], [710.0, 280.0]], [[710.0, 280.0], [450.0, 270.0], [350.0, 240.0]], [[260.0, 230.0], [0.0, 220.0], [0.0, 0.0]], [[0.0, 0.0], [1100.0, 0.0], [1100.0, 50.0], [1060.0, 270.0], [1040.0, 290.0], [710.0, 280.0], [350.0, 240.0], [260.0, 230.0]]]"
0,0,1,1,"[[590.0, 130.0], [470.0, 140.0], [450.0, 160.0], [350.0, 130.0], [260.0, 120.0], [0.0, 110.0], [0.0, 0.0], [550.0, 0.0], [550.0, 50.0], [570.0, 80.0], [590.0, 80.0], [590.0, 130.0]]","[[590.0, 100.0], [470.0, 110.0], [450.0, 130.0], [350.0, 100.0], [260.0, 90.0], [0.0, 80.0], [0.0, -30.0], [550.0, -30.0], [550.0, 20.0], [570.0, 50.0], [590.0, 50.0], [590.0, 100.0]]","[[1.5631940186722204e-13, -1.4210854715202004e-14], [550.0, 0.0], [650.0, 30.0], [740.0, 40.0], [1000.0, 50.0], [1000.0, 100.0], [1019.4736842105264, 129.21052631578948], [1040.0, 130.0], [1040.0, 290.0], [920.0, 300.0], [900.0, 320.0], [350.0000000000001, 320.0], [250.0000000000001, 290.0], [160.0000000000001, 280.0], [-99.99999999999989, 270.0], [-99.99999999999989, 219.99999999999983], [-119.47368421052609, 190.78947368421052], [-139.9999999999996, 190.0], [-139.9999999999996, 29.999999999999986], [-19.999999999999602, 19.999999999999986]]","[1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0]","[[[], []], [[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[-50.0, 3.061616997868383e-15], [-29.21052631578948, 19.47368421052636]], [[-29.21052631578948, 19.47368421052636], [-0.7894736842105191, 20.526315789473642]], [[], []], [[], []], [[-10.000000000000007, -120.0], [-20.0, -20.0]], [[], []], [[], []], [[29.999999999999993, -100.0], [9.999999999999995, -90.0]], [[9.999999999999995, -90.0], [9.999999999999984, -260.0]], [[], []], [[50.00000000000017, -3.0616169978683933e-15], [29.21052631578931, -19.473684210526205]], [[29.21052631578931, -19.473684210526205], [0.7894736842105191, -20.526315789473514]], [[], []], [[], []], [[10.000000000000007, 120.0], [20.0, 19.99999999999976]]]","[-139.99999999999977, 0.0, 1039.9999999999998, 320.0]","[[[739.9999999999999, 40.000000000000014], [999.9999999999999, 50.000000000000014], [999.9999999999999, 100.00000000000001]], [[1019.4736842105262, 129.21052631578948], [1039.9999999999998, 130.0], [1039.9999999999998, 290.0]], [[1039.9999999999998, 290.0], [919.9999999999999, 300.0], [649.9999999999999, 30.000000000000014], [739.9999999999999, 40.000000000000014], [999.9999999999999, 100.00000000000001], [1019.4736842105262, 129.21052631578948]], [[-19.99999999999976, 20.0], [0.0, 0.0], [549.9999999999999, 1.4210854715202004e-14], [649.9999999999999, 30.000000000000014], [919.9999999999999, 300.0], [899.9999999999999, 320.0], [349.99999999999994, 320.0], [249.99999999999994, 290.0]], [[159.99999999999994, 280.0], [-100.00000000000004, 270.0], [-100.00000000000004, 219.99999999999983]], [[-119.47368421052624, 190.78947368421052], [-139.99999999999977, 190.0], [-139.99999999999977, 30.0]], [[-139.99999999999977, 30.0], [-19.99999999999976, 20.0], [249.99999999999994, 290.0], [159.99999999999994, 280.0], [-100.00000000000004, 219.99999999999983], [-119.47368421052624, 190.78947368421052]]]"
0,1,0,0,"[[-140.0, 30.0], [-20.0, 20.0], [0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [450.0, 160.0], [-100.0, 160.0], [-100.0, 110.0], [-120.0, 80.0], [-140.0, 80.0], [-140.0, 30.0]]","[[0.0, 0.0], [0.0, -140.0], [270.0, -170.0], [370.0, -200.0], [410.0, -220.0], [470.0, -190.0], [560.0, -160.0], [560.0, 0.0], [0.0, 0.0]]","[[0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [450.0, 300.0], [180.0, 330.0], [80.0, 360.0], [40.0, 380.0], [-510.0, 380.0], [-570.0, 350.0], [-660.0, 320.0], [-660.0, 270.0], [-674.2857142857143, 248.57142857142856], [-700.0, 240.0], [-700.0, 30.0], [-580.0, 20.0], [-560.0, 0.0]]","[1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]","[[[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[], []], [[-30.000000000000018, -270.0], [-30.000000000000007, -100.0]], [[-30.000000000000007, -100.0], [-20.000000000000004, -40.0]], [[], []], [[], []], [[29.999999999999996, -60.0], [29.999999999999993, -90.0]], [[], []], [[50.0, -3.061616997868383e-15], [21.428571428571445, -14.285714285714336]], [[21.428571428571445, -14.285714285714336], [8.571428571428553, -25.714285714285666]], [[], []], [[], []], [[10.000000000000007, 120.0], [20.0, 20.0]], [[], []]]","[-700.0, 0.0, 450.0, 380.0]","[[[180.0, 330.0], [100.0, 30.0], [190.0, 40.0]], [[190.0, 40.0], [450.0, 50.0], [450.0, 300.0], [180.0, 330.0]], [[100.0, 30.0], [180.0, 330.0], [80.0, 360.0]], [[-570.0, 350.0], [-660.0, 320.0], [-660.0, 270.0]], [[-674.2857142857143, 248.57142857142856], [-700.0, 240.0], [-700.0, 30.0]], [[-674.2857142857143, 248.57142857142856], [-700.0, 30.0], [-580.0, 20.0]], [[-580.0, 20.0], [-560.0, 0.0], [0.0, 0.0], [100.0, 30.0], [80.0, 360.0], [40.0, 380.0], [-510.0, 380.0], [-570.0, 350.0], [-660.0, 270.0], [-674.2857142857143, 248.57142857142856]]]"
0,1,0,1,"[[-140.0, 30.0], [-20.0, 20.0], [0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [450.0, 160.0], [-100.0, 160.0], [-100.0, 110.0], [-120.0, 80.0], [-140.0, 80.0], [-140.0, 30.0]]","[[560.0, -220.0], [560.0, -80.0], [290.0, -50.0], [190.0, -20.0], [150.0, 0.0], [90.0, -30.0], [0.0, -60.0], [0.0, -220.0], [560.0, -220.0]]","[[0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [510.0, 80.0], [600.0, 110.0], [600.0, 380.0], [-510.0, 380.0], [-510.0, 330.0], [-530.0, 300.0], [-550.0, 300.0], [-550.0, 110.0], [-426.25, 96.25], [-410.0, 80.0], [-203.52941176470586, 57.05882352941177], [-179.99999999999994, 50.0], [-139.99999999999994, 29.999999999999996], [-47.69230769230768, 22.307692307692307], [-40.0, 20.000000000000004]]","[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[[[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[-29.999999999999996, 60.0], [-29.999999999999993, 90.0]], [[], []], [[], []], [[], []], [[50.0, -3.061616997868383e-15], [30.0, -20.000000000000004]], [[30.0, -20.000000000000004], [-1.2246467991473533e-15, -20.0]], [[], []], [[], []], [[13.750000000000007, 123.75], [16.25, 16.25]], [[], []], [[22.941176470588246, 206.47058823529414], [7.05882352941177, 23.529411764705912]], [[7.05882352941177, 23.529411764705912], [20.000000000000007, 40.0]], [[], []], [[7.692307692307695, 92.30769230769226], [2.3076923076923035, 7.692307692307679]], [[2.3076923076923035, 7.692307692307679], [20.000000000000007, 40.0]]]","[-550.0, 0.0, 600.0, 380.0]","[[[-40.0, 20.000000000000004], [0.0, 0.0], [100.0, 30.0]], [[190.0, 40.0], [450.0, 50.0], [510.0, 80.0]], [[-530.0, 300.0], [-550.0, 300.0], [-550.0, 110.0]], [[-550.0, 110.0], [-426.25, 96.25], [-510.0, 330.0], [-530.0, 300.0]], [[-179.99999999999994, 50.0], [-139.99999999999994, 29.999999999999996], [-47.69230769230768, 22.307692307692307]], [[-47.69230769230768, 22.307692307692307], [-40.0, 20.000000000000004], [100.0, 30.0]], [[100.0, 30.0], [-203.52941176470586, 57.05882352941177], [-179.99999999999994, 50.0], [-47.69230769230768, 22.307692307692307]], [[100.0, 30.0], [190.0, 40.0], [510.0, 80.0], [600.0, 110.0], [600.0, 380.0], [-510.0, 380.0], [-510.0, 330.0], [-426.25, 96.25], [-410.0, 80.0], [-203.52941176470586, 57.05882352941177]]]"
0,1,1,0,"[[590.0, 130.0], [470.0, 140.0], [450.0, 160.0], [350.0, 130.0], [260.0, 120.0], [0.0, 110.0], [0.0, 0.0], [550.0, 0.0], [550.0, 50.0], [570.0, 80.0], [590.0, 80.0], [590.0, 130.0]]","[[0.0, 0.0], [0.0, -140.0], [270.0, -170.0], [370.0, -200.0], [410.0, -220.0], [470.0, -190.0], [560.0, -160.0], [560.0, 0.0], [0.0, 0.0]]","[[550.0, 0.0], [550.0, 50.0], [570.0, 80.0], [590.0, 80.0], [590.0, 270.0], [466.25, 283.75], [450.0, 300.0], [243.52941176470586, 322.94117647058823], [220.0, 330.0], [180.0, 350.0], [87.69230769230774, 357.6923076923077], [80.0, 360.0], [40.0, 380.0], [-60.0, 350.0], [-150.0, 340.0], [-410.0, 330.0], [-470.0, 300.0], [-560.0, 270.0], [-560.0, 0.0]]","[1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]","[[[], []], [[-50.0, 3.061616997868383e-15], [-30.0, 20.000000000000004]], [[-30.0, 20.000000000000004], [1.2246467991473533e-15, 20.0]], [[], []], [[], []], [[-13.750000000000007, -123.75], [-16.25, -16.25]], [[], []], [[-22.941176470588246, -206.47058823529414], [-7.05882352941177, -23.529411764705856]], [[-7.05882352941177, -23.529411764705856], [-20.000000000000004, -40.0]], [[], []], [[-7.6923076923076845, -92.30769230769226], [-2.3076923076923213, -7.692307692307736]], [[-2.3076923076923213, -7.692307692307736], [-20.000000000000004, -40.0]], [[], []], [[29.999999999999993, -100.0], [9.999999999999995, -90.0]], [[9.999999999999995, -90.0], [9.999999999999984, -260.0]], [[], []], [[29.999999999999996, -60.0], [29.999999999999993, -90.0]], [[], []], [[], []]]","[-1110.0, 0.0, 40.0, 380.0]","[[[20.0, 80.0], [40.0, 80.0], [40.0, 270.0]], [[40.0, 270.0], [-83.75, 283.75], [0.0, 50.0], [20.0, 80.0]], [[-330.0, 330.0], [-370.0, 350.0], [-462.30769230769226, 357.6923076923077]], [[-610.0, 350.0], [-306.47058823529414, 322.94117647058823], [-330.0, 330.0], [-462.30769230769226, 357.6923076923077]], [[-610.0, 350.0], [-462.30769230769226, 357.6923076923077], [-470.0, 360.0]], [[-470.0, 360.0], [-510.0, 380.0], [-610.0, 350.0]], [[-700.0, 340.0], [-960.0, 330.0], [-1020.0, 300.0]], [[-1020.0, 300.0], [-1110.0, 270.0], [-1110.0, 0.0], [0.0, 0.0], [0.0, 50.0], [-83.75, 283.75], [-100.0, 300.0], [-306.47058823529414, 322.94117647058823], [-610.0, 350.0], [-700.0, 340.0]]]"
0,1,1,1,"[[590.0, 130.0], [470.0, 140.0], [450.0, 160.0], [350.0, 130.0], [260.0, 120.0], [0.0, 110.0], [0.0, 0.0], [550.0, 0.0], [550.0, 50.0], [570.0, 80.0], [590.0, 80.0], [590.0, 130.0]]","[[560.0, -220.0], [560.0, -80.0], [290.0, -50.0], [190.0, -20.0], [150.0, 0.0], [90.0, -30.0], [0.0, -60.0], [0.0, -220.0], [560.0, -220.0]]","[[0.0, 0.0], [550.0, 0.0], [610.0, 30.0], [700.0, 60.0], [700.0, 110.0], [714.2857142857143, 131.42857142857144], [740.0, 140.0], [740.0, 350.0], [620.0, 360.0], [600.0, 380.0], [40.0, 380.0], [-60.0, 350.0], [-150.0, 340.0], [-410.0, 330.0], [-410.0, 80.0], [-140.0, 50.0], [-40.0, 20.0]]","[1, 1, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0]","[[[], []], [[], []], [[-29.999999999999996, 60.0], [-29.999999999999993, 90.0]], [[], []], [[-50.0, 3.061616997868383e-15], [-21.428571428571445, 14.285714285714336]], [[-21.428571428571445, 14.285714285714336], [-8.571428571428553, 25.714285714285666]], [[], []], [[], []], [[-10.000000000000007, -120.0], [-20.0, -20.0]], [[], []], [[], []], [[29.999999999999993, -100.0], [9.999999999999995, -90.0]], [[9.999999999999995, -90.0], [9.999999999999984, -260.0]], [[], []], [[], []], [[30.000000000000018, 270.0], [30.000000000000007, 100.0]], [[30.000000000000007, 100.0], [20.000000000000004, 40.0]]]","[-410.0, 0.0, 740.0, 380.0]","[[[610.0, 30.0], [700.0, 60.0], [700.0, 110.0]], [[714.2857142857143, 131.42857142857144], [740.0, 140.0], [740.0, 350.0]], [[714.2857142857143, 131.42857142857144], [740.0, 350.0], [620.0, 360.0]], [[-140.0, 50.0], [-60.0, 350.0], [-150.0, 340.0]], [[-150.0, 340.0], [-410.0, 330.0], [-410.0, 80.0], [-140.0, 50.0]], [[-60.0, 350.0], [-140.0, 50.0], [-40.0, 20.0]], [[-40.0, 20.0], [0.0, 0.0], [550.0, 0.0], [610.0, 30.0], [700.0, 110.0], [714.2857142857143, 131.42857142857144], [620.0, 360.0], [600.0, 380.0], [40.0, 380.0], [-60.0, 350.0]]]"
0,2,0,0,"[[-140.0, 30.0], [-20.0, 20.0], [0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [450.0, 160.0], [-100.0, 160.0], [-100.0, 110.0], [-120.0, 80.0], [-140.0, 80.0], [-140.0, 30.0]]","[[0.0, 0.0], [570.0, 0.0], [570.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[0.0, 0.0], [570.0, 0.0], [670.0, 30.0], [760.0, 40.0], [1020.0, 50.0], [1020.0, 210.0], [-100.0, 210.0], [-100.0, 160.0], [-120.0, 130.0], [-140.0, 130.0], [-140.0, 30.0], [-20.0, 20.0]]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]","[[[], []], [[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[], []], [[], []], [[50.0, -3.061616997868383e-15], [30.0, -20.000000000000004]], [[30.0, -20.000000000000004], [-1.2246467991473533e-15, -20.0]], [[], []], [[], []], [[10.000000000000007, 120.0], [20.0, 20.0]]]","[-140.0, 0.0, 1020.0, 210.0]","[[[1020.0, 210.0], [670.0, 30.0], [760.0, 40.0]], [[760.0, 40.0], [1020.0, 50.0], [1020.0, 210.0]], [[-120.0, 130.0], [-140.0, 130.0], [-140.0, 30.0]], [[-140.0, 30.0], [-20.0, 20.0], [-100.0, 160.0], [-120.0, 130.0]], [[-20.0, 20.0], [0.0, 0.0], [570.0, 0.0], [670.0, 30.0], [1020.0, 210.0], [-100.0, 210.0], [-100.0, 160.0]]]"
0,2,0,1,"[[-140.0, 30.0], [-20.0, 20.0], [0.0, 0.0], [100.0, 30.0], [190.0, 40.0], [450.0, 50.0], [450.0, 160.0], [-100.0, 160.0], [-100.0, 110.0], [-120.0, 80.0], [-140.0, 80.0], [-140.0, 30.0]]","[[570.0, 50.0], [0.0, 50.0], [0.0, 0.0], [570.0, 0.0], [570.0, 50.0]]","[[0.0, 0.0], [570.0, 0.0], [670.0, 30.0], [760.0, 40.0], [1020.0, 50.0], [1020.0, 210.0], [-100.0, 210.0], [-100.0, 160.0], [-120.0, 130.0], [-140.0, 130.0], [-140.0, 30.0], [-20.0, 20.0]]","[1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0]","[[[], []], [[], []], [[-29.999999999999993, 100.0], [-9.999999999999995, 90.0]], [[-9.999999999999995, 90.0], [-9.999999999999984, 260.0]], [[], []], [[], []], [[], []], [[50.0, -3.061616997868383e-15], [30.0, -20.000000000000004]], [[30.0, -20.000000000000004], [-1.2246467991473533e-15, -20.0]], [[], []], [[], []], [[10.000000000000007, 120.0], [20.0, 20.0]]]","[-140.0, 0.0, 1020.0, 210.0]","[[[1020.0, 210.0], [670.0, 30.0], [760.0, 40.0]], [[760.0, 40.0], [1020.0, 50.0], [1020.0, 210.0]], [[-120.0, 130.0], [-140.0, 130.0], [-140.0, 30.0]], [[-140.0, 30.0], [-20.0, 20.0], [-100.0, 160.0], [-120.0, 130.0]], [[-20.0, 20.0], [0.0, 0.0], [570.0, 0.0], [670.0, 30.0], [1020.0, 210.0], [-100.0, 210.0], [-100.0, 160.0]]]"
