o_0,o_1,ver_sym
"[[0.0, 0.0], [120.0, -10.0], [140.0, -30.0], [240.0, 0.0], [330.0, 10.0], [590.0, 20.0], [590.0, 130.0], [40.0, 130.0], [40.0, 80.0], [20.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[590.0, 100.0], [470.0, 110.0], [450.0, 130.0], [350.0, 100.0], [260.0, 90.0], [0.0, 80.0], [0.0, -30.0], [550.0, -30.0], [550.0, 20.0], [570.0, 50.0], [590.0, 50.0], [590.0, 100.0]]",0
"[[0.0, 0.0], [0.0, -140.0], [270.0, -170.0], [370.0, -200.0], [410.0, -220.0], [470.0, -190.0], [560.0, -160.0], [560.0, 0.0], [0.0, 0.0]]","[[560.0, -220.0], [560.0, -80.0], [290.0, -50.0], [190.0, -20.0], [150.0, 0.0], [90.0, -30.0], [0.0, -60.0], [0.0, -220.0], [560.0, -220.0]]",0
"[[0.0, 0.0], [570.0, 0.0], [570.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[570.0, 50.0], [0.0, 50.0], [0.0, 0.0], [570.0, 0.0], [570.0, 50.0]]",1
"[[0.0, 0.0], [520.0, 0.0], [520.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[520.0, 50.0], [0.0, 50.0], [0.0, 0.0], [520.0, 0.0], [520.0, 50.0]]",1
"[[0.0, 0.0], [440.0, 0.0], [440.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[440.0, 50.0], [0.0, 50.0], [0.0, 0.0], [440.0, 0.0], [440.0, 50.0]]",1
"[[0.0, 0.0], [420.0, 0.0], [420.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[420.0, 50.0], [0.0, 50.0], [0.0, 0.0], [420.0, 0.0], [420.0, 50.0]]",1
"[[0.0, 0.0], [210.0, 0.0], [210.0, 20.0], [0.0, 20.0], [0.0, 0.0]]","[[210.0, 20.0], [0.0, 20.0], [0.0, 0.0], [210.0, 0.0], [210.0, 20.0]]",1
"[[0.0, 0.0], [150.0, 40.0], [130.0, 70.0], [0.0, 60.0], [0.0, 0.0]]","[[150.0, 70.0], [0.0, 30.0], [20.0, 0.0], [150.0, 10.0], [150.0, 70.0]]",0
"[[0.0, 0.0], [150.0, 10.0], [150.0, 40.0], [0.0, 40.0], [0.0, 0.0]]","[[150.0, 40.0], [0.0, 30.0], [0.0, 0.0], [150.0, 0.0], [150.0, 40.0]]",0
"[[0.0, 0.0], [140.0, 0.0], [140.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[140.0, 50.0], [0.0, 50.0], [0.0, 0.0], [140.0, 0.0], [140.0, 50.0]]",1
"[[0.0, 0.0], [140.0, 10.0], [140.0, 40.0], [0.0, 40.0], [0.0, 0.0]]","[[140.0, 40.0], [0.0, 30.0], [0.0, 0.0], [140.0, 0.0], [140.0, 40.0]]",0
"[[0.0, 0.0], [130.0, 0.0], [130.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[130.0, 50.0], [0.0, 50.0], [0.0, 0.0], [130.0, 0.0], [130.0, 50.0]]",1
"[[0.0, 0.0], [130.0, 10.0], [130.0, 40.0], [0.0, 40.0], [0.0, 0.0]]","[[130.0, 40.0], [0.0, 30.0], [0.0, 0.0], [130.0, 0.0], [130.0, 40.0]]",0
"[[0.0, 0.0], [120.0, 0.0], [120.0, 50.0], [0.0, 50.0], [0.0, 0.0]]","[[120.0, 50.0], [0.0, 50.0], [0.0, 0.0], [120.0, 0.0], [120.0, 50.0]]",1
"[[0.0, 0.0], [40.0, 20.0], [60.0, 100.0], [40.0, 110.0], [-40.0, 110.0], [-60.0, 100.0], [-40.0, 20.0], [0.0, 0.0]]","[[0.0, 110.0], [-40.0, 90.0], [-60.0, 10.0], [-40.0, 0.0], [40.0, 0.0], [60.0, 10.0], [40.0, 90.0], [0.0, 110.0]]",0
"[[0.0, 0.0], [30.0, -20.0], [80.0, 0.0], [80.0, 80.0], [20.0, 80.0], [0.0, 0.0]]","[[80.0, 60.0], [50.0, 80.0], [0.0, 60.0], [0.0, -20.0], [60.0, -20.0], [80.0, 60.0]]",0
"[[0.0, 0.0], [20.0, 10.0], [30.0, 60.0], [20.0, 70.0], [-20.0, 70.0], [-30.0, 60.0], [-20.0, 10.0], [0.0, 0.0]]","[[0.0, 70.0], [-20.0, 60.0], [-30.0, 10.0], [-20.0, 0.0], [20.0, 0.0], [30.0, 10.0], [20.0, 60.0], [0.0, 70.0]]",0
